local,rooms,price,area,restroom,status,kind,movel
" Encarnação, Mafra, Lisboa",T4,3350,250,4,Usado,moradia,ferias
" Mafra, Lisboa",T2,600,80,2,Usado,moradia,ferias
" Silveira, Torres Vedras, Lisboa",T4,810,150,,Casas de Banho: 2,moradia,ferias
" Ericeira, Mafra, Lisboa",T3,675,150,3,81456 /AL,moradia,ferias
" Silveira, Torres Vedras, Lisboa",T3,1100,150,,Casas de Banho: 3,moradia,ferias
" Turcifal, Torres Vedras, Lisboa",T1,450,85,1,24826 /AL,moradia,ferias
" A dos Cunhados e Maceira, Torres Vedras, Lisboa",T4,740,130,,57186 /AL,moradia,ferias
" Ericeira, Mafra, Lisboa",T3,945,120,2,Renovado,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T3,1400,187,2,Usado,moradia,ferias
" Mafra, Lisboa",T3,2000,74,,11502 /AL,moradia,ferias
" Ericeira, Mafra, Lisboa",T4,2800,225,4,Usado,moradia,ferias
" Ericeira, Mafra, Lisboa",T3,1400,156,3,Usado,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T3,1600,200,2,Usado,moradia,ferias
" Ericeira, Mafra, Lisboa",T4,750,100,2,Usado,moradia,ferias
" Mafra, Lisboa",T3,2000,"222,55",3,Usado,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T2,750,110,2,Usado,moradia,ferias
" Benfica, Lisboa",T1,295,30,,72877 /AL,moradia,ferias
" Lourinhã e Atalaia, Lourinhã, Lisboa",T1,590,70,1,Novo,moradia,ferias
" Lourinhã e Atalaia, Lourinhã, Lisboa",T2,820,120,2,Novo,moradia,ferias
" Silveira, Torres Vedras, Lisboa",T5,1310,150,,100930 /AL,moradia,ferias
" Ericeira, Mafra, Lisboa",T2,1470,100,2,Novo,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T3,1400,134,3,Usado,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T2,600,116,1,Usado,moradia,ferias
" Santo Isidoro, Mafra, Lisboa",T3,500,"122,35",3,Usado,moradia,ferias
" Lourinhã e Atalaia, Lourinhã, Lisboa",T2,820,120,2,Novo,moradia,ferias
" Silveira, Torres Vedras, Lisboa",T1,340,30,1,Renovado,moradia,ferias
" Colares, Sintra, Lisboa",T3,800,125,3,Renovado,moradia,ferias
" Arroios, Lisboa",T1,500,330,3,Novo,moradia,ferias
" Arroios, Lisboa",T2,490,78,1,Renovado,moradia,ferias
" Bagunte, Ferreiró, Outeiro Maior e Parada, Vila do Conde, Porto",T5,2121,300,4,17619 /AL,moradia,ferias
" Aver-O-Mar, Amorim e Terroso, Povoa de Varzim, Porto",T3,994,120,4,91201 /AL,moradia,ferias
" Santana do Mato, Coruche, Santarém",T1,420,60,,Casas de Banho: 1,moradia,ferias
" Raposa, Almeirim, Santarém",T3,,200,1,Renovado,moradia,ferias
" Azeitão (São Lourenço e São Simão), Setúbal",T4,595,"131,82",3,Usado,moradia,ferias
" Loivo, Vila Nova de Cerveira, Viana do Castelo",T4,1372,120,3,114893 /AL,moradia,ferias
" Caminha (Matriz) e Vilarelho, Caminha, Viana do Castelo",T3,728,400,4,25036 /AL,moradia,ferias
" Caminha (Matriz) e Vilarelho, Caminha, Viana do Castelo",T6,910,300,4,74278 /AL,moradia,ferias
" Arcos de Valdevez (São Paio) e Giela, Arcos de Valdevez, Viana do Castelo",T2,1153,100,3,Renovado,moradia,ferias
" Moledo e Cristelo, Caminha, Viana do Castelo",T6,3500,2348,,"

",moradia,ferias
" Castro Laboreiro e Lamas de Mouro, Melgaço, Viana do Castelo",T3,906,120,2,61717 /AL,moradia,ferias
" Chafé, Viana do Castelo",T3,,130,2,Usado,moradia,ferias
" Barcos e Santa Leocádia, Tabuaço, Viseu",T3,,175,3,Novo,moradia,ferias
" São João do Monte e Mosteirinho, Tondela, Viseu",T3,250,150,2,525 /AL,moradia,ferias
